section,row_id,event_provision,actor_authority,status,date,source_url,last_checked
1,L1,Cabinet adopts KI-MIG government draft,BMDS/Cabinet,Adopted,2026-02-11,https://bmds.bund.de/service/gesetzgebungsverfahren/gesetz-zur-durchfuehrung-der-ki-verordnung,2026-08-23
1,L2,Bundesrat statement (Stellungnahme) on KI-MIG issued,Bundesrat,Issued,2026-04-01,https://bmds.bund.de/service/gesetzgebungsverfahren/gesetz-zur-durchfuehrung-der-ki-verordnung,2026-08-23
1,L3,Bundestag passes KI-MIG 2nd+3rd reading; Bundesrat waives mediation 10 Jul,Bundestag,Enacted,2026-06-11,https://collectivebrain.de/ki-mig-bundestag-ki-aufsicht-deutschland-2026,2026-08-23
1,L4,KI-MIG enters into force,Federal Government,In force,2026-07-29,https://www.hlc.com/en/publications/eu-ai-act-german-implementation-act-enters-into-force,2026-08-23
1,L5,BNetzA designated default market surveillance authority Sec 2(1) KI-MIG plus single point of contact and central complaints office,BNetzA,In force,2026-07-29,https://www.gesetze-im-internet.de/ki-mig/BJNR0DF0B0026.html,2026-08-25
1,L6,KoKIVO coordination and competence centre legally established within BNetzA Sec 5 KI-MIG,BNetzA/KoKIVO,Established,2026-07-29,http://www.bundesnetzagentur.de/DE/Fachthemen/Digitales/KI/15_Koordinierung/start.html,2026-08-25
1,L7,BNetzA acts as notifying authority for conformity assessment bodies under Art 28 AI Act,BNetzA,Process live,2026-08-02,https://www.bundesnetzagentur.de/EN/Areas/Digitalisation/AI/13_Notification/start.html,2026-08-25
1,L8,German AI regulatory sandbox KI-Reallabor in preparation - BNetzA pilot concluded 17 Mar 2026 roadmap published 7 May 2026 - EU deadline extended to 2 Aug 2027 by Digital Omnibus per BNetzA live page,BNetzA,In preparation (deadline now 2027-08-02),2026-08-02,https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2026/20260317_Ki.html,2026-08-25
1,L9,EU AI Act fully applicable - GPAI enforcement powers active fines up to 3 percent turnover or EUR 15M,EU Commission,In effect,2026-08-02,https://artificialintelligenceact.eu/implementation-timeline,2026-08-23
1,L10,Digital Omnibus on AI Regulation EU 2026/1744 in force 27 Jul 2026 - Annex III high-risk obligations deferred to 2 Dec 2027 Annex I to 2 Aug 2028,EU Commission,In force,2026-07-27,https://www.whitecase.com/insight-alert/eu-ai-omnibus-enters-force-amending-ai-act,2026-08-23
2,E1,BNetzA becomes market surveillance authority single point of contact and complaints office under KI-MIG,BNetzA,In force,2026-07-29,https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2026/20260729_KI_VO.html,2026-08-25
2,E2,KoKIVO coordination centre established at BNetzA plus independent UKIM chamber planned,BNetzA/KoKIVO,Established,2026-07-29,https://www.ferner-alsdorf.de/deutschland-bekommt-ein-ki-gesetz-buendelung-der-nationalen-ki-aufsicht-bei-der-bundesnetzagentur,2026-08-25
2,E3,BaFin receives AI market surveillance mandate for financial sector AI systems,BaFin,Active,2026-07-29,https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Pressemitteilung/2026/pm_2026_07_29_ki_verordnung.html,2026-08-25
2,E4,First public enforcement cases by BNetzA/BaFin — none yet; Art 85 complaint channel live at BNetzA,BNetzA/BaFin,No cases yet,2026-08-23,https://www.digitalsauria.de/eu-ai-act,2026-08-25
2,E5,EU Commission AI Office begins GPAI enforcement with fines up to 3 percent turnover or EUR 15M,EU AI Office,Started,2026-08-02,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,2026-08-25
3,P1,Open letter by 41 organisations demanding rejection of AI Omnibus,EDRi et al.,Published,2026-04-15,https://edri.org/our-work/open-letter-eu-lawmakers-must-safeguard-the-ai-act,2026-08-23
3,P2,ZVEI position paper pushing further AI Act simplification via KI-Omnibus,ZVEI,Published,2026-03-31,https://www.zvei.org/presse-medien/pressebereich/ki-omnibus-zvei-draengt-auf-weitere-vereinfachung-der-ki-regulatorik,2026-08-23
3,P4,Bitkom concept paper for German AI Security Institute DE-AISI without regulatory role,Bitkom,Published,2026-08-23,https://www.bitkom.org/Bitkom/Publikationen/Deutsches-AI-Security-Institut,2026-08-25
4,I1,National Security Council decides to establish German AI Security Institute DE-AISI implementing Seoul Declaration commitment,Federal Government/National Security Council,Decided,2026-06-08,https://www.bundesregierung.de/breg-de/aktuelles/sitzung-des-nationalen-sicherheitsrates-im-juni-2026-2438050,2026-08-25
4,I2,CoE Framework Convention on AI CETS 225 — Germany has NEITHER signed nor ratified while EU signed Sep 2024; only 1 ratification total so far; EU ratified 15 May 2026 (per Treaty Office data),Germany/CoE,Not signed,2026-08-23,https://www.coe.int/en/web/conventions/full-list?module=signatures-by-treaty&treatynum=225,2026-08-23
4,I3,UN General Assembly adopts AI Modalities Resolution A/RES/79/325 by consensus following Global Digital Compact,UN General Assembly,Adopted,2025-08-26,https://techpolicy.press/un-reaches-consensus-on-ai-now-comes-the-hard-part,2026-08-23
4,I4,G7 France presidency digital declaration builds on Hiroshima AI Process reporting framework,G7,Issued,2026-08-23,https://g7g20-documents.org/database/document/2026-g7-france-ministerial-meetings-idt-ministers-ministers-language-g7-ministerial-declaration-on-digital-technology,2026-08-23
